id,source,category,text,content_type,is_time_sensitive,has_missing_values,structured_fields,potential_duplicate,duplicate_group,chunk_id,text_length,word_count
001,GRA_Income_Tax_Act_896,income_tax,"Income Tax in Ghana is governed by the Income Tax Act, 2015 (Act 896) as amended by Act 941 (2016), Act 956 (2017) and Act 1,007 (2020). The Act replaced the old Internal Revenue Act 2000 (Act 592). A resident individual is taxed on worldwide income whereas a non-resident is only taxed on Ghana-source income. Residency is determined based on domicile, stay of 183 days or more in any 12-month period, or being an employee or official of the Government of Ghana posted abroad. Tax rates for individuals are progressive ranging from 0% on the first GHS 5,880 of annual income to 35% on income above GHS 240,000 per year as at the latest amendment — always verify current bands at gra.gov.gh because the budget updates them. Self-employed individuals must file a tax return by 30 April of the following year. Employment income is taxed at source via the PAYE system. Investment income such as dividends, interest and rent may be subject to withholding tax which can be final or credited depending on the payer and nature.",formal,True,False,"{'tax_rates_mentioned': ['0', '35'], 'ghs_amounts_mentioned': ['5,880', '240,000'], 'deadlines': [{'type': 'recurring_deadline', 'value': '30 April of the following year'}], 'is_qa_format': False, 'has_step_instructions': False}",False,,001,1020,177
002,GRA_FAQ_Individual_Taxes,income_tax,"Q: who pays income tax in Ghana? A: Every individual who earns income in Ghana is potentially subject to income tax. This includes salaried employees, self-employed persons, sole proprietors, partners in a partnership, and residents earning foreign income. Exemptions exist for certain incomes e.g. income of a person under a scholarship, pension income up to certain thresholds, gratuity and terminal benefits capped at a quarter of the total emoluments, gains from life insurance policies and certain agricultural income. Q: what is chargeable income? A: Chargeable income is the amount of income on which you actually pay tax after deducting allowable reliefs and deductions from your total income. Total income minus allowable deductions equals chargeable income.",formal,False,False,"{'is_qa_format': True, 'has_step_instructions': False}",False,,002,767,115
003,GRA_PAYE_Guide_2023,paye,"Pay As You Earn (PAYE) is the mechanism by which employers deduct income tax from employees salaries and wages at source and remit to GRA. An employer is required to register as a withholding agent with GRA. PAYE is calculated on the employee's monthly chargeable income after deducting mandatory Social Security (SSNIT) contributions of 5.5% and any applicable personal reliefs. The employer deducts PAYE every month and must file a monthly PAYE return and remit the tax by the 15th of the following month. Failure to remit attracts a penalty of 10% of the tax due plus interest at the prevailing Bank of Ghana rate. At year-end, the employer issues each employee a P9 form (certificate of emoluments and PAYE deducted) which the employee uses for their annual tax return if required. An employee with multiple employers must disclose this to both employers and to GRA to ensure correct total PAYE. An employee who earns only employment income and has had the correct PAYE deducted is not required to file a separate annual return unless GRA specifically requests one.",formal,False,False,"{'tax_rates_mentioned': ['5.5', '10'], 'deadlines': [{'type': 'deadline', 'value': '15th of'}], 'is_qa_format': False, 'has_step_instructions': False}",False,,003,1069,179
004,GRA_PAYE_FAQ,paye,"PAYE rates for monthly income (approximate, always confirm at gra.gov.gh): First GHS 490 per month — 0%. Next GHS 110 — 5%. Next GHS 130 — 10%. Next GHS 3,000 — 17.5%. Next GHS 16,270 — 25%. Next GHS 20,000 — 30%. Exceeding GHS 20,000 monthly — 35%. Note: these bands are indexed to the national budget and may change annually. An employer who fails to deduct PAYE becomes personally liable for the undeducted tax. Expatriate employees working in Ghana are also subject to PAYE on their Ghana-source employment income regardless of where their salary is paid. Allowances such as housing, transport, utility and entertainment allowances paid to an employee are included in employment income for PAYE purposes unless specifically exempt under the Act.",formal,False,False,"{'tax_rates_mentioned': ['25', '30', '10', '35', '17.5', '0', '5'], 'ghs_amounts_mentioned': ['16,270', '110', '130', '20,000', '3,000', '490'], 'is_qa_format': False, 'has_step_instructions': False}",False,,004,749,124
005,GRA_Corporate_Tax_Overview,corporate_tax,"Companies operating in Ghana pay Corporate Income Tax (CIT) on their chargeable income. The standard CIT rate is 25%. However the following special rates apply: Companies engaged in non-traditional exports — 8%. Hotels and companies in the tourism sector — 22%. Financial institutions including banks — 35% (reduced to 25% for community banks and rural banks). Mining companies — 35%. Petroleum companies — variable under the applicable Petroleum Agreement, often around 35% plus additional oil entitlement. Free Zone enterprises — 0% for the first 10 years and 15% thereafter. Agricultural businesses — 0% for the first 5 years subject to conditions, then 20%. Companies located in regional capitals outside Accra and Kumasi — 18.75% for 5 years. Companies in districts other than regional capitals — 12.5% for 5 years. Manufacturing companies — 25%. Real estate developers — 22% on speculative building profits. CIT return must be filed within 4 months after year-end (April 30 for December year-end companies). Installment payments are required quarterly throughout the year.",formal,False,False,"{'tax_rates_mentioned': ['25', '18.75', '22', '35', '15', '12.5', '8', '0', '20'], 'deadlines': [{'type': 'timeframe', 'value': '4 months'}], 'is_qa_format': False, 'has_step_instructions': False}",False,,005,1078,166
006,GRA_CIT_Filing_Guide,corporate_tax,"Corporate Tax Filing Process in Ghana. Step 1: Register your company with GRA and obtain a TIN if not already done. Step 2: Keep proper books of account in Ghana cedis throughout the year. Step 3: Calculate provisional tax in four equal installments and pay by the last working day of March, June, September and December (for December year-end). Step 4: After year-end, prepare financial statements in accordance with IFRS or IFRS for SMEs as applicable. Step 5: Complete the annual self-assessment return (Form ITPF 7A for companies) and file with the relevant GRA tax office by 30 April. Step 6: Pay any balance of tax due when filing. Interest accrues on underpayments of provisional tax if underpayment exceeds 10% of the final liability. A company that changes its accounting year must obtain GRA approval. Small companies (turnover below GHS 20,000 per year) may qualify for the small business rate — verify current thresholds as these change.",formal,True,False,"{'tax_rates_mentioned': ['10'], 'ghs_amounts_mentioned': ['20,000'], 'is_qa_format': False, 'has_step_instructions': True}",False,,006,949,157
007,GRA_Withholding_Tax_Guide,withholding_tax,Withholding Tax (WHT) in Ghana acts as an advance payment of tax or as a final tax depending on the type of payment. Payments subject to WHT include: Dividends — 8% final tax (resident and non-resident). Interest paid by financial institutions to individuals — 8% final tax. Interest on Government securities — 0%. Rent paid to individuals — 8% final tax; rent paid to companies — 8% creditable. Service fees to resident individuals — 7.5% creditable. Service fees to resident companies — 7.5% creditable. Service fees to non-residents — 20% final tax. Management fees to non-residents — 20% final tax. Royalties to residents — 15% creditable. Royalties to non-residents — 20% final tax. Natural resource payments — 15%. Lottery winnings above a threshold — 5% final tax. Endorsement fees — 10% final tax. Sports persons and entertainers — 15% final tax. The withholder must file a WHT return and remit by the 15th of the following month. A WHT certificate must be issued to the recipient which they use to credit against their annual tax liability (for creditable WHT).,formal,False,False,"{'tax_rates_mentioned': ['20', '10', '15', '8', '0', '7.5', '5'], 'deadlines': [{'type': 'deadline', 'value': '15th of'}], 'is_qa_format': False, 'has_step_instructions': False}",False,,007,1070,179
008,GRA_WHT_FAQ,withholding_tax,"Q: Do I have to withhold tax on payments to foreign companies? A: Yes. Payments to non-resident persons for services rendered in Ghana are subject to 20% WHT which is a final tax. This covers management fees, technical fees, consulting fees, royalties, interest (at 8%) and dividends (at 8%). Q: What happens if I forget to withhold? A: The payer/withholder becomes personally liable for the tax that should have been withheld. GRA may assess the payer for the undeducted WHT plus interest and penalties. Q: Can the non-resident get a refund if there is a Double Taxation Agreement? A: Yes, Ghana has DTAs with several countries including UK, France, Germany, South Africa, Belgium, Netherlands, Italy, Singapore, Switzerland, Czech Republic and Mauritius. Where a DTA provides a reduced WHT rate the non-resident can apply to GRA for relief.",formal,False,False,"{'tax_rates_mentioned': ['20', '8'], 'is_qa_format': True, 'has_step_instructions': False}",False,,008,842,137
009,GRA_Capital_Gains_Tax,capital_gains_tax,"Capital Gains Tax (CGT) in Ghana is charged on gains from the realisation of investment assets. Investment assets include land and buildings, business assets, shares, unit trust interests and other financial assets. CGT rate: 15% on gains from realisation of assets by resident persons. A gain is calculated as proceeds minus the cost base of the asset. Cost base includes original acquisition cost, improvement expenditure and incidental costs of acquisition. Proceeds include all amounts received, including the FMV of non-cash consideration. Exemptions: Gain on disposal of a principal private residence owned and occupied for at least three years — exempt. Gain on transfer between spouses — exempt (no gain/no loss). Gain on reorganisations within the same group of companies — may be deferred subject to conditions. Shares listed on the Ghana Stock Exchange — gains are exempt (to encourage investment in capital markets). CGT return must be filed and tax paid within 30 days of realisation. Failure to report is an offence.",formal,False,False,"{'tax_rates_mentioned': ['15'], 'deadlines': [{'type': 'timeframe', 'value': '30 days'}], 'is_qa_format': False, 'has_step_instructions': False}",False,,009,1030,162
010,GRA_Gift_Tax_Act,gift_tax,"Gift Tax in Ghana. Under the Income Tax Act 2015 (Act 896), gifts received by individuals are included in the income of the recipient and taxed accordingly. A gift means the receipt of money or moneys worth without adequate consideration. Gifts from employers are treated as employment income. Gifts from family members and from religious organisations in the course of religious activities are generally exempt. Gifts received in course of a business are treated as business income not gift tax. The value of a gift is its market value at the date of receipt. A recipient of a taxable gift must declare it in their annual income tax return. The rate applicable to gifts is the marginal income tax rate of the recipient. Where the gift is land or building, stamp duty implications also arise — that is administered by the Lands Commission not GRA. The giver of a gift does not pay gift tax but if the gift involves an asset disposal, CGT may arise for the giver.",formal,True,False,"{'is_qa_format': False, 'has_step_instructions': False}",False,,010,962,169
